Maine December Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198506,3.96,0.22
198507,3.84,0.05
198508,3.72,0.21
198509,3.48,-0.21
198510,2.79,-0.91
198511,4.37,0.48
198512,2.16,-1.37
198601,5.39,2.09
198602,1.46,-1.32
198603,3.46,0.14
198604,2.73,-0.62
198605,3.95,0.56
198606,3.33,-0.41
198607,4.80,1.01
198608,5.22,1.71
198609,3.66,-0.03
198610,1.65,-2.05
198611,3.83,-0.06
198612,3.05,-0.48
198701,3.47,0.17
198702,0.53,-2.25
198703,2.92,-0.40
198704,4.02,0.67
198705,2.89,-0.50
198706,4.48,0.74
198707,2.39,-1.40
198708,1.98,-1.53
198709,5.61,1.92
198710,3.64,-0.06
198711,2.74,-1.15
198712,3.37,-0.16
198801,2.26,-1.04
198802,2.93,0.15
198803,1.40,-1.92
198804,3.26,-0.09
198805,2.34,-1.05
198806,2.48,-1.26
198807,4.64,0.85
198808,5.91,2.40
198809,1.84,-1.85
198810,3.96,0.26
198811,5.94,2.05
198812,1.39,-2.14
198901,1.79,-1.51
198902,2.15,-0.63
198903,2.49,-0.83
198904,3.09,-0.26
198905,7.07,3.68
198906,4.08,0.34
198907,2.31,-1.48
198908,4.83,1.32
198909,3.96,0.27
198910,3.03,-0.67
198911,5.08,1.19
198912,1.94,-1.59
199001,4.06,0.76
199002,2.24,-0.54
199003,1.98,-1.34
199004,3.56,0.21
199005,5.28,1.89
199006,4.46,0.72
199007,3.57,-0.22
199008,4.87,1.36
199009,3.56,-0.13
199010,7.71,4.01
199011,4.28,0.39
199012,5.61,2.08
199101,2.83,-0.47
199102,1.27,-1.51
199103,5.14,1.82
199104,3.69,0.34
199105,3.70,0.31
199106,2.35,-1.39
199107,2.25,-1.54
199108,8.17,4.66
199109,4.63,0.94
199110,4.38,0.68
199111,3.27,-0.62
199112,2.56,-0.97
199201,4.02,0.72
199202,2.97,0.19
199203,3.57,0.25
199204,2.15,-1.20
199205,1.07,-2.32
199206,4.58,0.84
199207,4.31,0.52
199208,3.65,0.14
199209,2.71,-0.98
199210,3.49,-0.21
199211,3.22,-0.67
199212,1.76,-1.77
199301,2.28,-1.02
199302,3.21,0.43
199303,3.20,-0.12
199304,5.48,2.13
199305,2.32,-1.07
199306,4.27,0.53
199307,2.60,-1.19
199308,2.50,-1.01
199309,4.38,0.69
199310,4.30,0.60
199311,4.04,0.15
199312,5.03,1.50
199401,4.63,1.33
199402,1.41,-1.37
199403,4.13,0.81
199404,4.08,0.73
199405,4.30,0.91
199406,3.89,0.15
199407,3.73,-0.06
199408,2.63,-0.88
199409,4.41,0.72
199410,1.52,-2.18
199411,4.21,0.32
199412,2.74,-0.79
199501,4.44,1.14
199502,2.60,-0.18
199503,2.57,-0.75
199504,2.24,-1.11
199505,3.92,0.53
199506,2.36,-1.38
199507,3.94,0.15
199508,1.77,-1.74
199509,2.55,-1.14
199510,6.70,3.00
199511,6.47,2.58
199512,3.16,-0.37
199601,4.79,1.49
199602,3.73,0.95
199603,2.22,-1.10
199604,4.94,1.59
199605,4.90,1.51
199606,4.34,0.60
199607,7.57,3.78
199608,1.66,-1.85
199609,5.08,1.39
199610,4.12,0.42
199611,2.05,-1.84
199612,5.99,2.46
199701,4.14,0.84
199702,2.61,-0.17
199703,3.29,-0.03
199704,2.82,-0.53
199705,4.15,0.76
199706,3.28,-0.46
199707,3.44,-0.35
199708,4.52,1.01
199709,3.09,-0.60
199710,1.43,-2.27
199711,3.97,0.08
199712,2.77,-0.76
199801,5.39,2.09
199802,3.57,0.79
199803,4.00,0.68
